Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
131,Sunday Aug 27,boxscore,BOS,,LAD,L,4,7,,69-62,4,12.5,Stone,Houck,Phillips,2:40,D,33954,.81,-,
132,Monday Aug 28,boxscore,BOS,,HOU,L,5,13,,69-63,4,13.5,Graveman,Barraclough,Urquidy,3:21,N,33771,.88,--,
133,Tuesday Aug 29,boxscore,BOS,,HOU,L,2,6,,69-64,4,14.5,France,Bello,,2:57,N,30267,.59,---,
134,Wednesday Aug 30,boxscore,BOS,,HOU,L,4,7,,69-65,4,14.5,Valdez,Crawford,Pressly,3:06,D,31045,.44,----,
135,Friday Sep 1,boxscore,BOS,@,KCR,L,2,13,,69-66,4,14.5,Lyles,Paxton,,2:40,N,15470,.28,-----,
136,Saturday Sep 2,boxscore,BOS,@,KCR,W,9,5,,70-66,4,14.5,Houck,Marsh,Pivetta,2:56,N,20527,.23,+,
137,Sunday Sep 3,boxscore,BOS,@,KCR,W,7,3,,71-66,4,14.5,Sale,Greinke,,3:07,D,15785,.33,++,
138,Monday Sep 4,boxscore,BOS,@,TBR,W,7,3,,72-66,4,14.5,Bello,Devenski,,2:39,D,18302,.40,+++,
139,Tuesday Sep 5,boxscore,BOS,@,TBR,L-wo,6,8,11,72-67,4,15.5,Ramírez,Jansen,,3:57,N,9119,.50,-,
140,Wednesday Sep 6,boxscore,BOS,@,TBR,L,1,3,,72-68,4,16.5,Glasnow,Pivetta,Fairbanks,2:32,N,10100,.35,--,
141,Friday Sep 8,boxscore,BOS,,BAL,L,2,11,,72-69,4,17.5,Bradish,Houck,,3:01,N,33852,.27,---,
142,Saturday Sep 9,boxscore,BOS,,BAL,L,12,13,,72-70,4,18.5,Fujinami,Sale,,3:40,D,34615,.19,----,
143,Sunday Sep 10,boxscore,BOS,,BAL,W,7,3,,73-70,4,17.5,Bello,Rodriguez,,2:51,D,31295,.11,+,
144,Tuesday Sep 12 (1),boxscore,BOS,,NYY,L,2,3,,73-71,4,18.5,Brito,Pivetta,Holmes,2:45,D,30029,.13,-,2023-09-11 (Rain)
145,Tuesday Sep 12 (2),boxscore,BOS,,NYY,L,1,4,,73-72,4,18.5,Rodón,Winckowski,Ramirez,3:39,N,30392,.08,--,
146,Thursday Sep 14 (1),boxscore,BOS,,NYY,W,5,0,,74-72,4,17.5,Houck,King,,2:48,D,30228,.04,+,2023-09-13 (Rain)
147,Thursday Sep 14 (2),boxscore,BOS,,NYY,L,5,8,,74-73,4,17.5,Peralta,Llovera,Kahnle,3:12,N,35507,.05,-,
148,Friday Sep 15,boxscore,BOS,@,TOR,L,0,3,,74-74,5,17.5,Berríos,Bello,Romano,2:17,N,35680,.03,--,
149,Saturday Sep 16,boxscore,BOS,@,TOR,L-wo,3,4,13,74-75,5,18.5,Green,Llovera,,4:01,D,42276,.02,---,
150,Sunday Sep 17,boxscore,BOS,@,TOR,L-wo,2,3,,74-76,5,19.5,Swanson,Whitlock,,2:43,D,41876,.00,----,
151,Monday Sep 18,boxscore,BOS,@,TEX,W,4,2,,75-76,5,19.5,Winckowski,Smith,Martin,2:36,N,27375,.00,+,
152,Tuesday Sep 19,boxscore,BOS,@,TEX,L,4,6,,75-77,5,20.5,Chapman,Murphy,Leclerc,2:55,N,26617,.00,-,
153,Wednesday Sep 20,boxscore,BOS,@,TEX,L,5,15,,75-78,5,20.5,Pérez,Bello,,2:44,D,28519,.00,--,
154,Friday Sep 22,boxscore,BOS,,CHW,W,3,2,,76-78,5,19.0,Llovera,Crochet,Martin,2:42,N,37102,.00,+,
155,Saturday Sep 23,boxscore,BOS,,CHW,L,0,1,,76-79,5,20.0,Bummer,Winckowski,Shaw,2:27,D,33392,.00,-,
156,Sunday Sep 24,boxscore,BOS,,CHW,L,2,3,6,76-80,5,21.0,Clevinger,Crawford,,1:43,D,33399,.00,--,
157,Tuesday Sep 26,boxscore,BOS,,TBR,L,7,9,,76-81,5,22.0,Eflin,Houck,Fairbanks,2:58,N,34094,.00,---,
158,Wednesday Sep 27,boxscore,BOS,,TBR,L,0,5,,76-82,5,23.0,Glasnow,Bello,,2:26,N,34559,.00,----,
159,Thursday Sep 28,boxscore,BOS,@,BAL,L,0,2,,76-83,5,24.0,Kremer,Sale,Wells,2:30,N,27543,.00,-----,
160,Friday Sep 29,boxscore,BOS,@,BAL,W,3,0,,77-83,5,23.0,Pivetta,Means,Whitlock,2:24,N,28192,.00,+,
161,Saturday Sep 30,boxscore,BOS,@,BAL,L,2,5,,77-84,5,24.0,Zimmermann,Winckowski,,2:54,N,43150,.00,-,
162,Sunday Oct 1,boxscore,BOS,@,BAL,W,6,1,,78-84,5,23.0,Houck,Coulombe,,2:44,D,36640,.00,+,
